agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone
"9","Stadtbetriebe Steyr GmbH","https://www.stadtbetriebe.at/","Europe/Vienna","DE","07252/899-0"
"744","Wels Linien GmbH","https://www.welslinien.at/","Europe/Vienna","DE","07242/44 212"
"22","Stern & Hafferl VerkehrsgesmbH","https://www.ooevv.at/","Europe/Vienna","DE","07612/795-2000"
"10","Wilhelm Welser Verkehrsbetriebe GmbH","https://www.ooevv.at/","Europe/Vienna","DE","07229/88439"
"1","Österreichische Postbus AG","https://www.ooevv.at/","Europe/Vienna","DE","05-17-17"
"300","sabtours Busbetrieb GmbH","https://www.ooevv.at/","Europe/Vienna","DE","07242/41626"
"25","Siegfried Baumgartner","https://www.ooevv.at/","Europe/Vienna","DE","07955/6277"
"662","Dr. Richard -Standort Oberösterreich","https://www.ooevv.at/","Europe/Vienna","DE","+43 1 33100-398"
"18","Leitner Adelheid GmbH","https://www.ooevv.at/","Europe/Vienna","DE","0732/700447"
"11","WILIA d. Mgd. Wilhering","https://www.wilhering.at/WILIA_-_AST/WILIA_-_Fahrplaene","Europe/Vienna","DE","07226/2255-0"
"722","Stern & Hafferl Kraftfahrlinien GmbH","https://www.ooevv.at/","Europe/Vienna","DE","07612/795-2000"
"24","Fa. Schörgenhuber Hubert e. U.","https://www.ooevv.at/","Europe/Vienna","DE","07242 25472"
"19","Hehenberger GesmbH & Co KG","https://www.ooevv.at/","Europe/Vienna","DE","07272/6254"
