service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"M-F/Z","1","1","1","1","1","0","0","20211212","20220401"
"M-F/Z#1","1","1","1","1","1","0","0","20220402","20220415"
"M-F/Z#10","0","0","0","1","1","0","0","20220331","20220401"
"M-F/Z#11","1","1","1","1","1","0","0","20220402","20220603"
"M-F/Z#12","0","1","0","0","0","0","0","20220604","20220607"
"M-F/Z#13","1","1","1","1","1","0","0","20220608","20220615"
"M-F/Z#14","1","1","1","1","1","0","0","20220617","20221210"
"M-F/Z#15","1","1","1","1","1","0","0","20211212","20220525"
"M-F/Z#16","0","0","0","0","1","0","0","20220526","20220529"
"M-F/Z#17","1","1","1","1","1","0","0","20220530","20220618"
"M-F/Z#18","1","1","1","1","1","0","0","20220620","20220803"
"M-F/Z#19","0","0","0","1","0","0","0","20220804","20220804"
"M-F/Z#2","1","1","1","1","1","0","0","20220417","20220513"
"M-F/Z#20","1","1","1","1","1","0","0","20220805","20220911"
"M-F/Z#21","1","1","1","1","1","0","0","20220912","20220926"
"M-F/Z#22","0","1","1","0","0","0","0","20220927","20220928"
"M-F/Z#23","0","0","0","1","1","0","0","20220929","20220930"
"M-F/Z#24","1","1","1","1","1","0","0","20221001","20221009"
"M-F/Z#25","1","1","1","1","1","0","0","20221010","20221111"
"M-F/Z#26","1","1","1","1","1","0","0","20221112","20221210"
"M-F/Z#27","1","1","1","1","1","0","0","20211212","20220324"
"M-F/Z#28","1","1","1","1","1","0","0","20220325","20220520"
"M-F/Z#29","1","1","1","1","1","0","0","20220521","20221210"
"M-F/Z#3","1","1","1","1","1","0","0","20220515","20220528"
"M-F/Z#30","1","1","1","1","1","0","0","20211212","20220708"
"M-F/Z#31","1","1","1","1","1","0","0","20220710","20220908"
"M-F/Z#32","0","0","0","0","1","0","0","20220909","20220909"
"M-F/Z#33","1","1","1","1","1","0","0","20220910","20221025"
"M-F/Z#34","0","0","0","1","1","0","0","20221027","20221028"
"M-F/Z#35","1","1","1","1","1","0","0","20221030","20221210"
"M-F/Z#4","1","1","1","1","1","0","0","20220530","20220913"
"M-F/Z#5","1","1","1","1","1","0","0","20220914","20221001"
"M-F/Z#6","1","1","1","1","1","0","0","20221003","20221210"
"M-F/Z#7","1","1","1","1","1","0","0","20211212","20220313"
"M-F/Z#8","1","1","1","1","1","0","0","20220314","20220329"
"M-F/Z#9","0","0","1","0","0","0","0","20220330","20220330"
"M-F/Z+5x","0","0","0","0","1","0","0","20211212","20220525"
"M-F/Z+5x#1","0","0","0","0","1","0","0","20220526","20220529"
"M-F/Z+5x#2","0","0","0","0","1","0","0","20220530","20220618"
"M-F/Z+5x#3","0","0","0","0","1","0","0","20220620","20220803"
"M-F/Z+5x#4","0","0","0","0","1","0","0","20220805","20220911"
"M-F/Z+5x#5","0","0","0","0","1","0","0","20220912","20220926"
"M-F/Z+5x#6","0","0","0","0","1","0","0","20220929","20220930"
"M-F/Z+5x#7","0","0","0","0","1","0","0","20221001","20221009"
"M-F/Z+5x#8","0","0","0","0","1","0","0","20221010","20221111"
"M-F/Z+5x#9","0","0","0","0","1","0","0","20221112","20221210"
"M-F/Z+F/Z","1","1","1","1","1","0","0","20211212","20220525"
"M-F/Z+F/Z#1","0","0","0","0","1","0","0","20220526","20220529"
"M-F/Z+F/Z#2","0","0","0","0","1","0","0","20220530","20220618"
"M-F/Z+F/Z#3","1","1","1","1","1","0","0","20220620","20220803"
"M-F/Z+F/Z#4","0","0","0","1","0","0","0","20220804","20220804"
"M-F/Z+F/Z#5","1","1","1","1","1","0","0","20220805","20220911"
"M-F/Z+F/Z#6","1","0","1","1","1","0","0","20221010","20221111"
"M-F/Z+M26","0","0","0","0","1","0","0","20220805","20220911"
"M-F/Z+R","1","1","1","1","1","0","0","20220325","20220520"
"M-F/Z+R#1","1","1","1","1","1","0","0","20220521","20221210"
"M-F/Z+S","1","1","1","1","1","0","0","20211212","20220525"
"M-F/Z+S#1","1","1","1","1","1","0","0","20220530","20220618"
"M-F/Z+S#10","1","1","1","1","1","0","0","20220325","20220520"
"M-F/Z+S#11","1","1","1","1","1","0","0","20220521","20221210"
"M-F/Z+S#2","1","1","1","1","1","0","0","20220620","20220803"
"M-F/Z+S#3","1","1","1","1","1","0","0","20220912","20220926"
