service_id,date,exception_type
"M-F/Z","20220106","2"
"M-F/Z#11","20220418","2"
"M-F/Z#11","20220526","2"
"M-F/Z#14","20220815","2"
"M-F/Z#14","20221026","2"
"M-F/Z#14","20221101","2"
"M-F/Z#14","20221208","2"
"M-F/Z#15","20220106","2"
"M-F/Z#15","20220418","2"
"M-F/Z#17","20220606","2"
"M-F/Z#17","20220616","2"
"M-F/Z#2","20220418","2"
"M-F/Z#20","20220815","2"
"M-F/Z#25","20221026","2"
"M-F/Z#25","20221101","2"
"M-F/Z#26","20221208","2"
"M-F/Z#27","20220106","2"
"M-F/Z#28","20220418","2"
"M-F/Z#29","20220526","2"
"M-F/Z#29","20220606","2"
"M-F/Z#29","20220616","2"
"M-F/Z#29","20220815","2"
"M-F/Z#29","20221026","2"
"M-F/Z#29","20221101","2"
"M-F/Z#29","20221208","2"
"M-F/Z#3","20220526","2"
"M-F/Z#30","20220106","2"
"M-F/Z#30","20220418","2"
"M-F/Z#30","20220526","2"
"M-F/Z#30","20220606","2"
"M-F/Z#30","20220616","2"
"M-F/Z#31","20220815","2"
"M-F/Z#35","20221101","2"
"M-F/Z#35","20221208","2"
"M-F/Z#4","20220606","2"
"M-F/Z#4","20220616","2"
"M-F/Z#4","20220815","2"
"M-F/Z#6","20221026","2"
"M-F/Z#6","20221101","2"
"M-F/Z#6","20221208","2"
"M-F/Z#7","20220106","2"
"M-F/Z+5x","20211224","2"
"M-F/Z+F/Z","20211213","2"
"M-F/Z+F/Z","20211214","2"
"M-F/Z+F/Z","20211215","2"
"M-F/Z+F/Z","20211216","2"
"M-F/Z+F/Z","20211217","2"
"M-F/Z+F/Z","20211220","2"
"M-F/Z+F/Z","20211221","2"
"M-F/Z+F/Z","20211222","2"
"M-F/Z+F/Z","20211223","2"
"M-F/Z+F/Z","20220106","2"
"M-F/Z+F/Z","20220110","2"
"M-F/Z+F/Z","20220111","2"
"M-F/Z+F/Z","20220112","2"
"M-F/Z+F/Z","20220113","2"
"M-F/Z+F/Z","20220114","2"
"M-F/Z+F/Z","20220117","2"
"M-F/Z+F/Z","20220118","2"
"M-F/Z+F/Z","20220119","2"
"M-F/Z+F/Z","20220120","2"
"M-F/Z+F/Z","20220121","2"
"M-F/Z+F/Z","20220124","2"
"M-F/Z+F/Z","20220125","2"
"M-F/Z+F/Z","20220126","2"
"M-F/Z+F/Z","20220127","2"
"M-F/Z+F/Z","20220128","2"
"M-F/Z+F/Z","20220131","2"
"M-F/Z+F/Z","20220201","2"
"M-F/Z+F/Z","20220202","2"
"M-F/Z+F/Z","20220203","2"
"M-F/Z+F/Z","20220204","2"
"M-F/Z+F/Z","20220207","2"
"M-F/Z+F/Z","20220208","2"
"M-F/Z+F/Z","20220209","2"
"M-F/Z+F/Z","20220210","2"
"M-F/Z+F/Z","20220211","2"
"M-F/Z+F/Z","20220214","2"
"M-F/Z+F/Z","20220215","2"
"M-F/Z+F/Z","20220216","2"
"M-F/Z+F/Z","20220217","2"
"M-F/Z+F/Z","20220218","2"
"M-F/Z+F/Z","20220228","2"
"M-F/Z+F/Z","20220301","2"
"M-F/Z+F/Z","20220302","2"
"M-F/Z+F/Z","20220303","2"
"M-F/Z+F/Z","20220304","2"
"M-F/Z+F/Z","20220307","2"
"M-F/Z+F/Z","20220308","2"
"M-F/Z+F/Z","20220309","2"
"M-F/Z+F/Z","20220310","2"
"M-F/Z+F/Z","20220311","2"
"M-F/Z+F/Z","20220314","2"
"M-F/Z+F/Z","20220315","2"
"M-F/Z+F/Z","20220316","2"
"M-F/Z+F/Z","20220317","2"
"M-F/Z+F/Z","20220318","2"
"M-F/Z+F/Z","20220321","2"
"M-F/Z+F/Z","20220322","2"
"M-F/Z+F/Z","20220323","2"
"M-F/Z+F/Z","20220324","2"
"M-F/Z+F/Z","20220325","2"
"M-F/Z+F/Z","20220328","2"
"M-F/Z+F/Z","20220329","2"
"M-F/Z+F/Z","20220330","2"
"M-F/Z+F/Z","20220331","2"
"M-F/Z+F/Z","20220401","2"
"M-F/Z+F/Z","20220404","2"
"M-F/Z+F/Z","20220405","2"
"M-F/Z+F/Z","20220406","2"
"M-F/Z+F/Z","20220407","2"
"M-F/Z+F/Z","20220408","2"
"M-F/Z+F/Z","20220418","2"
"M-F/Z+F/Z","20220419","2"
"M-F/Z+F/Z","20220420","2"
"M-F/Z+F/Z","20220421","2"
"M-F/Z+F/Z","20220422","2"
"M-F/Z+F/Z","20220425","2"
"M-F/Z+F/Z","20220426","2"
"M-F/Z+F/Z","20220427","2"
"M-F/Z+F/Z","20220428","2"
"M-F/Z+F/Z","20220429","2"
"M-F/Z+F/Z","20220502","2"
"M-F/Z+F/Z","20220503","2"
"M-F/Z+F/Z","20220505","2"
"M-F/Z+F/Z","20220506","2"
"M-F/Z+F/Z","20220509","2"
"M-F/Z+F/Z","20220510","2"
"M-F/Z+F/Z","20220511","2"
"M-F/Z+F/Z","20220512","2"
"M-F/Z+F/Z","20220513","2"
"M-F/Z+F/Z","20220516","2"
"M-F/Z+F/Z","20220517","2"
"M-F/Z+F/Z","20220518","2"
"M-F/Z+F/Z","20220519","2"
"M-F/Z+F/Z","20220520","2"
"M-F/Z+F/Z","20220523","2"
"M-F/Z+F/Z","20220524","2"
"M-F/Z+F/Z","20220525","2"
"M-F/Z+F/Z#2","20220603","2"
"M-F/Z+F/Z#2","20220610","2"
"M-F/Z+F/Z#3","20220620","2"
"M-F/Z+F/Z#3","20220621","2"
"M-F/Z+F/Z#3","20220622","2"
"M-F/Z+F/Z#3","20220623","2"
"M-F/Z+F/Z#3","20220624","2"
"M-F/Z+F/Z#3","20220627","2"
"M-F/Z+F/Z#3","20220628","2"
"M-F/Z+F/Z#3","20220629","2"
"M-F/Z+F/Z#3","20220630","2"
"M-F/Z+F/Z#3","20220701","2"
"M-F/Z+F/Z#3","20220704","2"
"M-F/Z+F/Z#3","20220705","2"
"M-F/Z+F/Z#3","20220706","2"
"M-F/Z+F/Z#3","20220707","2"
"M-F/Z+F/Z#3","20220708","2"
"M-F/Z+F/Z#5","20220815","2"
"M-F/Z+F/Z#6","20221010","2"
"M-F/Z+F/Z#6","20221012","2"
"M-F/Z+F/Z#6","20221013","2"
"M-F/Z+F/Z#6","20221014","2"
"M-F/Z+F/Z#6","20221017","2"
"M-F/Z+F/Z#6","20221019","2"
"M-F/Z+F/Z#6","20221020","2"
"M-F/Z+F/Z#6","20221021","2"
"M-F/Z+F/Z#6","20221024","2"
"M-F/Z+F/Z#6","20221026","2"
"M-F/Z+F/Z#6","20221103","2"
"M-F/Z+F/Z#6","20221104","2"
"M-F/Z+F/Z#6","20221107","2"
"M-F/Z+F/Z#6","20221109","2"
"M-F/Z+F/Z#6","20221110","2"
"M-F/Z+F/Z#6","20221111","2"
"M-F/Z+M26","20220805","2"
"M-F/Z+M26","20220812","2"
"M-F/Z+M26","20220819","2"
"M-F/Z+M26","20220902","2"
"M-F/Z+M26","20220909","2"
"M-F/Z+R","20220325","2"
"M-F/Z+R","20220328","2"
"M-F/Z+R","20220329","2"
"M-F/Z+R","20220330","2"
"M-F/Z+R","20220331","2"
"M-F/Z+R","20220401","2"
"M-F/Z+R","20220404","2"
"M-F/Z+R","20220405","2"
"M-F/Z+R","20220406","2"
"M-F/Z+R","20220407","2"
"M-F/Z+R","20220408","2"
"M-F/Z+R","20220411","2"
"M-F/Z+R","20220412","2"
"M-F/Z+R","20220413","2"
"M-F/Z+R","20220414","2"
"M-F/Z+R","20220415","2"
"M-F/Z+R","20220418","2"
"M-F/Z+R","20220419","2"
"M-F/Z+R","20220420","2"
"M-F/Z+R","20220421","2"
"M-F/Z+R","20220422","2"
"M-F/Z+R","20220425","2"
"M-F/Z+R","20220426","2"
"M-F/Z+R","20220427","2"
"M-F/Z+R","20220428","2"
"M-F/Z+R","20220429","2"
"M-F/Z+R#1","20220526","2"
"M-F/Z+R#1","20220606","2"
"M-F/Z+R#1","20220616","2"
"M-F/Z+R#1","20220815","2"
"M-F/Z+R#1","20221026","2"
"M-F/Z+R#1","20221027","2"
"M-F/Z+R#1","20221028","2"
"M-F/Z+R#1","20221031","2"
"M-F/Z+R#1","20221101","2"
"M-F/Z+R#1","20221102","2"
"M-F/Z+R#1","20221103","2"
"M-F/Z+R#1","20221104","2"
"M-F/Z+R#1","20221107","2"
"M-F/Z+R#1","20221108","2"
"M-F/Z+R#1","20221109","2"
"M-F/Z+R#1","20221110","2"
"M-F/Z+R#1","20221111","2"
"M-F/Z+R#1","20221114","2"
"M-F/Z+R#1","20221115","2"
"M-F/Z+R#1","20221116","2"
"M-F/Z+R#1","20221117","2"
"M-F/Z+R#1","20221118","2"
"M-F/Z+R#1","20221121","2"
"M-F/Z+R#1","20221122","2"
"M-F/Z+R#1","20221123","2"
"M-F/Z+R#1","20221124","2"
"M-F/Z+R#1","20221125","2"
"M-F/Z+R#1","20221128","2"
"M-F/Z+R#1","20221129","2"
"M-F/Z+R#1","20221130","2"
"M-F/Z+R#1","20221201","2"
"M-F/Z+R#1","20221202","2"
"M-F/Z+R#1","20221205","2"
"M-F/Z+R#1","20221206","2"
"M-F/Z+R#1","20221207","2"
"M-F/Z+R#1","20221208","2"
"M-F/Z+R#1","20221209","2"
"M-F/Z+S","20211224","2"
"M-F/Z+S","20211227","2"
"M-F/Z+S","20211228","2"
"M-F/Z+S","20211229","2"
"M-F/Z+S","20211230","2"
"M-F/Z+S","20211231","2"
"M-F/Z+S","20220103","2"
"M-F/Z+S","20220104","2"
"M-F/Z+S","20220105","2"
"M-F/Z+S","20220106","2"
"M-F/Z+S","20220107","2"
"M-F/Z+S","20220221","2"
"M-F/Z+S","20220222","2"
"M-F/Z+S","20220223","2"
"M-F/Z+S","20220224","2"
"M-F/Z+S","20220225","2"
"M-F/Z+S","20220411","2"
"M-F/Z+S","20220412","2"
"M-F/Z+S","20220413","2"
"M-F/Z+S","20220414","2"
"M-F/Z+S","20220415","2"
"M-F/Z+S","20220418","2"
"M-F/Z+S","20220504","2"
"M-F/Z+S#1","20220606","2"
"M-F/Z+S#1","20220616","2"
"M-F/Z+S#1","20220617","2"
"M-F/Z+S#10","20220411","2"
"M-F/Z+S#10","20220412","2"
"M-F/Z+S#10","20220413","2"
"M-F/Z+S#10","20220414","2"
"M-F/Z+S#10","20220415","2"
"M-F/Z+S#10","20220418","2"
"M-F/Z+S#10","20220504","2"
"M-F/Z+S#11","20220526","2"
"M-F/Z+S#11","20220527","2"
"M-F/Z+S#11","20220606","2"
"M-F/Z+S#11","20220616","2"
"M-F/Z+S#11","20220617","2"
"M-F/Z+S#11","20220711","2"
"M-F/Z+S#11","20220712","2"
"M-F/Z+S#11","20220713","2"
"M-F/Z+S#11","20220714","2"
"M-F/Z+S#11","20220715","2"
"M-F/Z+S#11","20220718","2"
"M-F/Z+S#11","20220719","2"
"M-F/Z+S#11","20220720","2"
"M-F/Z+S#11","20220721","2"
"M-F/Z+S#11","20220722","2"
"M-F/Z+S#11","20220725","2"
"M-F/Z+S#11","20220726","2"
"M-F/Z+S#11","20220727","2"
"M-F/Z+S#11","20220728","2"
"M-F/Z+S#11","20220729","2"
"M-F/Z+S#11","20220801","2"
"M-F/Z+S#11","20220802","2"
"M-F/Z+S#11","20220803","2"
"M-F/Z+S#11","20220804","2"
"M-F/Z+S#11","20220805","2"
"M-F/Z+S#11","20220808","2"
"M-F/Z+S#11","20220809","2"
"M-F/Z+S#11","20220810","2"
"M-F/Z+S#11","20220811","2"
"M-F/Z+S#11","20220812","2"
"M-F/Z+S#11","20220815","2"
"M-F/Z+S#11","20220816","2"
"M-F/Z+S#11","20220817","2"
"M-F/Z+S#11","20220818","2"
"M-F/Z+S#11","20220819","2"
"M-F/Z+S#11","20220822","2"
"M-F/Z+S#11","20220823","2"
"M-F/Z+S#11","20220824","2"
"M-F/Z+S#11","20220825","2"
"M-F/Z+S#11","20220826","2"
"M-F/Z+S#11","20220829","2"
"M-F/Z+S#11","20220830","2"
