route_id,agency_id,route_short_name,route_long_name,route_type
"11-10-j22-2","9","10","Bahnhof - Stadtplatz - Tabor - Bahnhof (Einkaufslinie) Stadtverkehr Steyr Linie 10","3"
"11-1-j22-1","9","1","Bahnhof - Münichholz - Bahnhof Stadtverkehr Steyr Linie 1","3"
"11-1-j22-2","9","1","Bahnhof - Münichholz - Bahnhof Stadtverkehr Steyr Linie 1","3"
"11-2,4-j22-1","9","2/4","Bahnhof - Resthof - Tabor - Bahnhof Stadtverkehr Steyr Linie 2/4","3"
"11-2,4-j22-2","9","2/4","Bahnhof - Resthof - Tabor - Bahnhof Stadtverkehr Steyr Linie 2/4","3"
"11-20-j22-2","9","20","Bahnhof - Stadtplatz - Ennsleite - Münichholz - Gleink - Resthof - Tabor - Wehrgraben - Bahnhof Stadtverkehr Steyr Linie 20 Abendlinie","3"
"11-21-j22-2","9","21","Bahnhof - Wehrgraben - Tabor - Resthof - Gleink - Münichholz - Ennsleite - Stadtplatz - Bahnhof Stadtverkehr Steyr Linie 21 Abendlinie","3"
"11-2-a-j22-1","9","2a","Bahnhof (Busbahnhof/Stadtbus) - Bahnhof (Busbahnhof/Stadtbus)","3"
"11-2-a-j22-2","9","2a","Bahnhof - Resthof - Bahnhof Stadtverkehr Steyr Linie 2a","3"
"11-2-b-j22-1","9","2b","Bahnhof (Busbahnhof/Stadtbus) - Bahnhof (Busbahnhof/Stadtbus)","3"
"11-2-b-j22-2","9","2b","Bahnhof - Krankenhaus - Bahnhof Stadtverkehr Steyr Linie 2b","3"
"11-3-a-j22-1","9","3a","Bahnhof (Busbahnhof/Stadtbus) - Bahnhof (Busbahnhof/Stadtbus)","3"
"11-3-a-j22-2","9","3a","Bahnhof - Neuschönau - Ennsleite - Bahnhof Stadtverkehr Steyr Linie 3a","3"
"11-3-b-j22-1","9","3b","Bahnhof (Busbahnhof/Stadtbus) - Bahnhof (Busbahnhof/Stadtbus)","3"
"11-3-b-j22-2","9","3b","Bahnhof - Pachergasse - Ennsleite - Bahnhof Stadtverkehr Steyr Linie 3b","3"
"11-3-j22-1","9","3","Bahnhof - Stadtplatz - Ennsleite - Stadtplatz - Bahnhof Stadtverkehr Steyr Linie 3","3"
"11-3-j22-2","9","3","Bahnhof - Ennsleite - Stadtplatz Stadtverkehr Steyr Linie 3","3"
"11-4-j22-1","9","4","Bahnhof - Steyrdorf - Tabor - Bahnhof Stadtverkehr Steyr Linie 4","3"
"11-4-j22-2","9","4","Bahnhof - Steyrdorf - Tabor - Bahnhof Stadtverkehr Steyr Linie 4","3"
"11-5-j22-1","9","5","Bahnhof - Gleink - Stadtgut Stadtverkehr Steyr Linie 5","3"
"11-5-j22-2","9","5","Bahnhof - Stadtgut Stadtverkehr Steyr Linie 5","3"
"11-6-j22-1","9","6","Bahnhof - Waldrandsiedlung - Bahnhof Stadtverkehr Steyr Linie 6","3"
"11-6-j22-2","9","6","Bahnhof - Waldrandsiedlung - Bahnhof Stadtverkehr Steyr Linie 6","3"
"11-7-j22-1","9","7","Bahnhof - Schlüsselhofsiedlung - Bahnhof Stadtverkehr Steyr Linie 7","3"
"11-7-j22-2","9","7","Bahnhof - Schlüsselhof - Bahnhof Stadtverkehr Steyr Linie 7","3"
"11-8-j22-1","9","8","Bahnhof - Christkindlsiedlung  - Sarning - Bahnhof Stadtverkehr Steyr Linie 8","3"
"11-8-j22-2","9","8","Bahnhof - Christkindlsiedlung  - Sarning - Bahnhof Stadtverkehr Steyr Linie 8","3"
"11-9-j22-1","9","9","Bahnhof - Stadtplatz - Bahnhof Stadtverkehr Steyr Linie 9","3"
"11-9-j22-2","9","9","Bahnhof - Stadtplatz - Bahnhof Stadtverkehr Steyr Linie 9","3"
"12-11-j22-1","744","11","Wels Mauth Schule - Straubingersiedlung - Anne-Frank-Straße - Vogelweiderplatz Stadtverkehr Wels Mauth Schule - Vogelweiderplatz","3"
"12-13-j22-1","744","13","Wels Stadlhof - Klinikum - Hbf - Flugplatz - ROLA-Terminal Stadtverkehr Wels Stadlhof - ROLA-Terminal","3"
"12-14-j22-1","744","14","Wels Hbf - Flugplatz - Oberhart - Stadlhof - Klinikum - Hbf Stadtverkehr Wels Hbf - Stadlhof","3"
"12-15-j22-1","744","15","Wels Hbf - K.-J.-Platz - Thalheim Stadtverkehr Wels Hbf - Thalheim","3"
"12-16-j22-1","744","16","Wels Hbf - K.-J.-Platz - Bauernstraße - Schwimmbad Wels Stadtverkehr Hbf - Schwimmbad","3"
"12-1-A-j22-1","744","A1","Kaiser-Josef-Platz (Rainerstraße) - Kaiser-Josef-Platz (Rainerstraße)","3"
"12-1-j22-1","744","1","Wels Straubingersiedlung - Klinikum - Hbf - K.-J.-Platz - Schulstraße - Nötzmühle Stadtverkehr Wels Straubingersiedlung","3"
"12-1-S-j22-1","744","1","Wels Straubingersiedlung - Klinikum - Hbf - K.-J.-Platz - Schulstraße - Nötzmühle Stadtverkehr Wels Straubingersiedlung","3"
"12-21-j22-1","744","21","Wels K.-J.-Platz - Friedhofwirt Sonderfahrplan 01. November Stadtverkehr Wels K.-J.-Platz - Friedhofwirt","3"
"12-2-A-j22-1","744","A2","Kaiser-Josef-Platz (Rainerstraße) - Kaiser-Josef-Platz (Rainerstraße)","3"
"12-2-j22-1","744","2","Flemingstraße - Vogelweiderplatz - K.-J.-Platz - Hbf- Industriestraße - Billingerstr. Stadtverkehr Wels Flemingstr. - Billingstr.","3"
"12-2-S-j22-1","744","2","Flemingstraße - Vogelweiderplatz - K.-J.-Platz - Hbf- Industriestraße - Billingerstr. Stadtverkehr Wels Flemingstr. - Billingstr.","3"
"12-3-j22-1","744","3","Dickerldorf - Hbf -  K.J.Platz - Camillo-Schulz-Straße - Kreßstraße Stadtverkehr Wels Dickeldorf - Kreßstraße","3"
"12-3-S-j22-1","744","3","Dickerldorf - Hbf -  K.J.Platz - Camillo-Schulz-Straße - Kreßstraße Stadtverkehr Wels Dickeldorf - Kreßstraße","3"
