route_id,service_id,trip_id,shape_id,trip_headsign,direction_id,block_id
"11-10-j22-2","Sa#1","1.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","10.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","11.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","118.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","12.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","13.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","14.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","15.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","16.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","17.Sa.11-10-j22-2.2.H","11-10-j22-2.2.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","18.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","19.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","2.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","20.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","21.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","22.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","23.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","24.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","25.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","26.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","27.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","3.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","4.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","5.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","6.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","7.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa#1","8.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-10-j22-2","Sa+B#1","9.Sa.11-10-j22-2.1.H","11-10-j22-2.1.H","Stadtplatz - Tabor","0",""
"11-1-j22-1","Mo-Fr+Z77","1.Mo-Fr.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa+W","1.Sa.11-1-j22-1.4.H","11-1-j22-1.4.H","Münichholz","0",""
"11-1-j22-1","So+Fe","10.So+Fe.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","So+Fe","11.So+Fe.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","So+Fe","12.So+Fe.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","121.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa+6w","122.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","123.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","124.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","125.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","126.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa+6w","127.Sa.11-1-j22-1.4.H","11-1-j22-1.4.H","Münichholz","0",""
"11-1-j22-1","Sa","128.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa+B","129.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","So+Fe","13.So+Fe.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","130.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa+B","131.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
"11-1-j22-1","Sa","132.Sa.11-1-j22-1.5.H","11-1-j22-1.5.H","Münichholz","0",""
