origin_stop_id,reachable_stop_id,walking_time
at:42:6130:0,at:42:6131:0,0 days 00:02:29.894928
at:42:6131:0,at:42:6130:0,0 days 00:02:29.894928
at:42:6132:0,at:47:66303:0,0 days 00:04:31.405522800
at:45:54128:0,at:45:56676:0,0 days 00:03:32.017348800
at:45:54197:0,at:45:56597:0,0 days 00:03:46.886986799
at:45:54202:0,at:45:54203:0,0 days 00:03:49.105710
at:45:54202:0,at:45:56676:0,0 days 00:04:29.337992400
at:45:54203:0,at:45:54202:0,0 days 00:03:49.105710
at:45:54204:0,at:45:54205:0,0 days 00:03:39.369135600
at:45:54205:0,at:45:54204:0,0 days 00:03:39.369135600
at:45:56597:0,at:45:54197:0,0 days 00:03:46.886986799
at:45:56676:0,at:45:54128:0,0 days 00:03:32.017348800
at:45:56676:0,at:45:54202:0,0 days 00:04:29.337992400
at:47:1153:0,at:47:61380:0,0 days 00:04:35.261360400
at:47:1155:0,at:47:65906:0,0 days 00:04:26.626494
at:47:1157:0,at:47:62098:0,0 days 00:03:59.574114
at:47:1160:0,at:47:61331:0,0 days 00:03:54.595184399
at:47:1161:0,at:47:61360:0,0 days 00:04:01.408954800
at:47:1161:0,at:47:61449:0,0 days 00:02:33.560422800
at:47:1161:0,at:47:62237:0,0 days 00:04:15.120314400
at:47:1161:0,at:47:65501:0,0 days 00:04:55.257650400
at:47:1161:0,at:47:65543:0,0 days 00:01:48.773679600
at:47:1162:0,at:47:65545:0,0 days 00:04:27.231808800
at:47:1162:0,at:47:65564:0,0 days 00:04:55.095103200
at:47:1163:0,at:47:65551:0,0 days 00:04:50.470525200
at:47:1163:0,at:47:68150:0,0 days 00:02:44.878210800
at:47:1167:0,at:47:68072:0,0 days 00:02:25.700398800
at:47:1169:0,at:47:65727:0,0 days 00:01:28.762723200
at:47:1169:0,at:47:68205:0,0 days 00:04:43.893958800
at:47:1169:0,at:47:68244:0,0 days 00:02:50.187642
at:47:1169:0,at:47:68473:0,0 days 00:02:13.250407199
at:47:1170:0,at:47:61961:0,0 days 00:03:22.508989200
at:47:1170:0,at:47:68209:0,0 days 00:02:18.997735200
at:47:1170:0,at:47:68210:0,0 days 00:04:19.967995200
at:47:1170:0,at:47:68215:0,0 days 00:03:10.938294
at:47:1170:0,at:47:68216:0,0 days 00:04:25.859132400
at:47:1170:0,at:47:68230:0,0 days 00:03:29.366380800
at:47:1170:0,at:47:68234:0,0 days 00:04:49.591196400
at:47:1170:0,at:47:68235:0,0 days 00:03:41.949216
at:47:1170:0,at:47:68236:0,0 days 00:03:13.574696400
at:47:1172:0,at:47:62530:0,0 days 00:03:51.684418800
at:47:1172:0,at:47:65999:0,0 days 00:03:47.480868
at:47:1174:0,at:47:62214:0,0 days 00:04:36.136675200
at:47:1179:0,at:47:61832:0,0 days 00:03:28.098964800
at:47:1179:0,at:47:61835:0,0 days 00:03:39.908613600
at:47:1179:0,at:47:62479:0,0 days 00:04:15.055676400
